strategy,S,R,Q,rank
W_times_2,0.22281991914008112,0.1308432893290638,0.0,1
W_fixed,0.3411456964408024,0.23701979557179564,0.26492553392544516,2
W_plus_1,0.5259931035199498,0.19856287423151445,0.37618703513450596,3
No_Retrain,0.563571008482485,0.4281311252986018,0.7503716896785364,4
W_div_2,0.7722554435093786,0.4684557470566993,0.9999999997608987,5
