batch_id,method,score,is_drift
10,DDM,0.10373521726664334,True
10,KL_Divergence,0.17458958986807457,False
10,KS_Statistic,0.04314166666666667,True
11,DDM,0.10415883288007027,False
11,KL_Divergence,0.17897484661182972,False
11,KS_Statistic,0.03878250000000002,True
12,DDM,0.10072639006106768,False
12,KL_Divergence,0.21056445181822203,False
12,KS_Statistic,0.03852,True
13,DDM,0.10277808693767218,False
13,KL_Divergence,0.2058661031840706,False
13,KS_Statistic,0.036161666666666654,True
14,DDM,0.11633729165618069,True
14,KL_Divergence,0.2010671625006237,False
14,KS_Statistic,0.03767916666666667,True
15,DDM,0.11506893240491069,False
15,KL_Divergence,0.22393402050370362,False
15,KS_Statistic,0.04386750000000001,True
16,DDM,0.11882689765012773,False
16,KL_Divergence,0.20651466503291174,False
16,KS_Statistic,0.04474500000000001,True
17,DDM,0.12109472527812322,False
17,KL_Divergence,0.2876422491753287,False
17,KS_Statistic,0.06252999999999999,True
18,DDM,0.12130603746546399,False
18,KL_Divergence,0.2281075703258533,False
18,KS_Statistic,0.05809666666666668,True
19,DDM,0.12049452250773976,False
19,KL_Divergence,0.24267781348648376,False
19,KS_Statistic,0.058242499999999996,True
20,DDM,0.11867521320287311,False
20,KL_Divergence,0.2373379682324873,False
20,KS_Statistic,0.05671583333333333,True
21,DDM,0.1164895150113749,False
21,KL_Divergence,0.29451417224504856,False
21,KS_Statistic,0.07755333333333332,True
22,DDM,0.11297798543679073,False
22,KL_Divergence,0.38532819945847036,False
22,KS_Statistic,0.09831083333333333,True
23,DDM,0.11520989913400322,False
23,KL_Divergence,0.2128994126683882,False
23,KS_Statistic,0.04737166666666667,True
24,DDM,0.11805902157903923,False
24,KL_Divergence,0.2222960354242902,False
24,KS_Statistic,0.04602500000000001,True
25,DDM,0.1191678061451146,False
25,KL_Divergence,0.18545919910552847,False
25,KS_Statistic,0.04892583333333333,True
26,DDM,0.11971635711407645,False
26,KL_Divergence,0.21636862564682954,False
26,KS_Statistic,0.048107500000000004,True
27,DDM,0.11856025913376843,False
27,KL_Divergence,0.19294700301193088,False
27,KS_Statistic,0.052798333333333315,True
28,DDM,0.11760704388605188,False
28,KL_Divergence,0.22497543406313156,False
28,KS_Statistic,0.06229083333333333,True
29,DDM,0.11669859152468386,False
29,KL_Divergence,0.2727982188310096,False
29,KS_Statistic,0.05807583333333333,True
30,DDM,0.11666607625495581,False
30,KL_Divergence,0.23744811462406967,False
30,KS_Statistic,0.054222499999999986,True
31,DDM,0.11691536334190472,False
31,KL_Divergence,0.2786608908253696,False
31,KS_Statistic,0.06336499999999999,True
32,DDM,0.1161803968979623,False
32,KL_Divergence,0.2007280982528922,False
32,KS_Statistic,0.06119,True
33,DDM,0.11551066043937523,False
33,KL_Divergence,0.19507470145027903,False
33,KS_Statistic,0.05794916666666666,True
34,DDM,0.11486683574356858,False
34,KL_Divergence,0.20688458585305217,False
34,KS_Statistic,0.053833333333333344,True
35,DDM,0.11502857906718225,False
35,KL_Divergence,0.22518520300518638,False
35,KS_Statistic,0.05476416666666667,True
36,DDM,0.11477870779719791,False
36,KL_Divergence,0.23900844999571125,False
36,KS_Statistic,0.06552000000000001,True
37,DDM,0.11481724379498585,False
37,KL_Divergence,0.2039212391206352,False
37,KS_Statistic,0.060840000000000005,True
38,DDM,0.11495140622569804,False
38,KL_Divergence,0.19170843817544445,False
38,KS_Statistic,0.061188333333333324,True
39,DDM,0.11511426245759962,False
39,KL_Divergence,0.22980759871404974,False
39,KS_Statistic,0.062905,True
40,DDM,0.11505049648007419,False
40,KL_Divergence,0.24800681263107796,False
40,KS_Statistic,0.061475,True
41,DDM,0.11480716749662548,False
41,KL_Divergence,0.20308804110893997,False
41,KS_Statistic,0.05369666666666667,True
42,DDM,0.11509177308936329,False
42,KL_Divergence,0.23318246103684884,False
42,KS_Statistic,0.05868499999999999,True
43,DDM,0.11527439623419819,False
43,KL_Divergence,0.2208985584415878,False
43,KS_Statistic,0.05929916666666666,True
44,DDM,0.11489463633871115,False
44,KL_Divergence,0.23608826069197453,False
44,KS_Statistic,0.05723166666666666,True
45,DDM,0.11476992342526206,False
45,KL_Divergence,0.24263403240967185,False
45,KS_Statistic,0.0549025,True
46,DDM,0.11459059014152342,False
46,KL_Divergence,0.2553869001096402,False
46,KS_Statistic,0.05704166666666668,True
47,DDM,0.11412041933727776,False
47,KL_Divergence,0.24914990544378587,False
47,KS_Statistic,0.05994583333333334,True
48,DDM,0.11398189725391868,False
48,KL_Divergence,0.296273184429736,False
48,KS_Statistic,0.061873333333333336,True
49,DDM,0.11367479482592693,False
49,KL_Divergence,0.27930198818374646,False
49,KS_Statistic,0.06043916666666668,True
50,DDM,0.11375498822670994,False
50,KL_Divergence,0.25000974987918173,False
50,KS_Statistic,0.0568175,True
51,DDM,0.11401907177550666,False
51,KL_Divergence,0.23063658129983444,False
51,KS_Statistic,0.05562749999999999,True
52,DDM,0.11414343938592304,False
52,KL_Divergence,0.20880793771876813,False
52,KS_Statistic,0.05394000000000001,True
53,DDM,0.11431751622278351,False
53,KL_Divergence,0.2702370544873082,False
53,KS_Statistic,0.03991833333333333,False
54,DDM,0.11423881922013628,False
54,KL_Divergence,0.2687895239738667,False
54,KS_Statistic,0.04435666666666666,True
55,DDM,0.11416869264284338,False
55,KL_Divergence,0.24263411807312663,False
55,KS_Statistic,0.058877500000000006,True
56,DDM,0.11410178758396343,False
56,KL_Divergence,0.24154722611208415,False
56,KS_Statistic,0.06209500000000001,True
57,DDM,0.11401471394702953,False
57,KL_Divergence,0.24200843436526473,False
57,KS_Statistic,0.06739333333333332,True
58,DDM,0.11409906970796796,False
58,KL_Divergence,0.2865385326603551,False
58,KS_Statistic,0.06139833333333333,True
59,DDM,0.1140644550185018,False
59,KL_Divergence,0.23788106229364558,False
59,KS_Statistic,0.0629925,True
60,DDM,0.11423925108449437,False
60,KL_Divergence,0.3039033617876012,False
60,KS_Statistic,0.06511750000000001,True
61,DDM,0.11428356617895039,False
61,KL_Divergence,0.2565419593919158,False
61,KS_Statistic,0.05630083333333333,True
62,DDM,0.11432181764680889,False
62,KL_Divergence,0.22829467384796112,False
62,KS_Statistic,0.05652666666666667,True
63,DDM,0.1142404446693758,False
63,KL_Divergence,0.24209454683572584,False
63,KS_Statistic,0.06547249999999999,True
64,DDM,0.1137235672171039,False
64,KL_Divergence,0.34305315741165315,False
64,KS_Statistic,0.07218833333333334,True
65,DDM,0.11345751034495866,False
65,KL_Divergence,0.2898406806711613,False
65,KS_Statistic,0.05602333333333334,False
66,DDM,0.1135045723022477,False
66,KL_Divergence,0.2811015990016948,False
66,KS_Statistic,0.0531375,True
67,DDM,0.11351217760535996,False
67,KL_Divergence,0.2502671670229882,False
67,KS_Statistic,0.05585416666666667,True
68,DDM,0.11347881759348143,False
68,KL_Divergence,0.23335385677734397,False
68,KS_Statistic,0.05812916666666667,True
69,DDM,0.11345386893454043,False
69,KL_Divergence,0.1930889099132691,False
69,KS_Statistic,0.04931500000000002,True
70,DDM,0.11333001380361106,False
70,KL_Divergence,0.20341605956609551,False
70,KS_Statistic,0.05193333333333335,True
71,DDM,0.11335744522588788,False
71,KL_Divergence,0.2177164986661151,False
71,KS_Statistic,0.046023333333333326,True
72,DDM,0.11330821090098679,False
