strategy,mean_f1,std_f1,drift_events,mean_window,max_window,mean_inference_s,mean_retrain_s,drift_reactions
No_Retrain,0.19287697477160895,0.06298214172680999,11,10000.0,10000,0.0045489291000194495,0.0,[]
W_plus_1,0.26788895035343663,0.0664317796529246,10,75666.66666666667,110000,0.004496827866569219,0.41971776240006875,"[{'batch_id': 11, 'retrain_time': 0.23370408300070267, 'new_window': 20000}, {'batch_id': 12, 'retrain_time': 0.27172350000000733, 'new_window': 30000}, {'batch_id': 13, 'retrain_time': 0.3645144589991105, 'new_window': 40000}, {'batch_id': 16, 'retrain_time': 0.3829427079999732, 'new_window': 50000}, {'batch_id': 18, 'retrain_time': 0.45325899999988906, 'new_window': 60000}, {'batch_id': 21, 'retrain_time': 0.45233545799965214, 'new_window': 70000}, {'batch_id': 23, 'retrain_time': 0.44841333300064434, 'new_window': 80000}, {'batch_id': 24, 'retrain_time': 0.4910639159988932, 'new_window': 90000}, {'batch_id': 26, 'retrain_time': 0.5364356250011042, 'new_window': 100000}, {'batch_id': 39, 'retrain_time': 0.5627855420007108, 'new_window': 110000}]"
W_times_2,0.290016486828982,0.0707860043269874,15,38333.333333333336,40000,0.004180811166831214,0.2947435359998053,"[{'batch_id': 11, 'retrain_time': 0.1964535409988457, 'new_window': 20000}, {'batch_id': 12, 'retrain_time': 0.211693582999942, 'new_window': 40000}, {'batch_id': 13, 'retrain_time': 0.3493832080002903, 'new_window': 40000}, {'batch_id': 14, 'retrain_time': 0.31238208299873804, 'new_window': 40000}, {'batch_id': 16, 'retrain_time': 0.3582617499996559, 'new_window': 40000}, {'batch_id': 17, 'retrain_time': 0.33835466599884967, 'new_window': 40000}, {'batch_id': 21, 'retrain_time': 0.22881958399921132, 'new_window': 40000}, {'batch_id': 22, 'retrain_time': 0.35206483299953106, 'new_window': 40000}, {'batch_id': 23, 'retrain_time': 0.14330037500076287, 'new_window': 40000}, {'batch_id': 24, 'retrain_time': 0.3195376250005211, 'new_window': 40000}, {'batch_id': 25, 'retrain_time': 0.24863816700053576, 'new_window': 40000}, {'batch_id': 26, 'retrain_time': 0.2960276249996241, 'new_window': 40000}, {'batch_id': 27, 'retrain_time': 0.3462853750006616, 'new_window': 40000}, {'batch_id': 30, 'retrain_time': 0.37466800000038347, 'new_window': 40000}, {'batch_id': 39, 'retrain_time': 0.3452826249995269, 'new_window': 40000}]"
W_div_2,0.1797008080821616,0.1032186091285637,11,2741.6666666666665,10000,0.004322112466858622,0.16652913636359948,"[{'batch_id': 11, 'retrain_time': 0.1999621670001943, 'new_window': 5000}, {'batch_id': 21, 'retrain_time': 0.21759716700034915, 'new_window': 2500}, {'batch_id': 23, 'retrain_time': 0.17408216599869775, 'new_window': 1250}, {'batch_id': 24, 'retrain_time': 0.16522441699999035, 'new_window': 1000}, {'batch_id': 26, 'retrain_time': 0.16151662499942177, 'new_window': 1000}, {'batch_id': 27, 'retrain_time': 0.14458741700036626, 'new_window': 1000}, {'batch_id': 28, 'retrain_time': 0.1594527500001277, 'new_window': 1000}, {'batch_id': 29, 'retrain_time': 0.1550461249989894, 'new_window': 1000}, {'batch_id': 34, 'retrain_time': 0.15168166600051336, 'new_window': 1000}, {'batch_id': 35, 'retrain_time': 0.15799404199970013, 'new_window': 1000}, {'batch_id': 39, 'retrain_time': 0.144675958001244, 'new_window': 1000}]"
W_fixed,0.33276984483287053,0.08131094217381112,8,10000.0,10000,0.005033920899889684,0.31410296862486575,"[{'batch_id': 11, 'retrain_time': 0.27281466699969315, 'new_window': 10000}, {'batch_id': 13, 'retrain_time': 0.24996362500132818, 'new_window': 10000}, {'batch_id': 23, 'retrain_time': 0.3047202079997078, 'new_window': 10000}, {'batch_id': 24, 'retrain_time': 0.4661960840003303, 'new_window': 10000}, {'batch_id': 25, 'retrain_time': 0.27855029099919193, 'new_window': 10000}, {'batch_id': 27, 'retrain_time': 0.3136234579997108, 'new_window': 10000}, {'batch_id': 30, 'retrain_time': 0.30764170799920976, 'new_window': 10000}, {'batch_id': 34, 'retrain_time': 0.3193137079997541, 'new_window': 10000}]"
